1010,Portfolio,100,100,100
1010,Traditional Income,0,10,45
1010,Money Market and Short Term,0,2,20
1010,Canadian Bonds,0,8,25
1010,Non-Traditional Income,30,50,60
1010,Fiera Diversified Lending,25,33,40
1010,Fiera North American Market Neutral,0,5,10
1010,Fiera Absolute Bond Yield,0,2.5,10
1010,Fiera Fixed Income & Currency Arbitrage,0,2.5,10
1010,Fiera Multi-Strategy Income,5,10,15
1010,Fiera Infrastructure,0,7,10
1010,Traditional Capital Appreciation,20,30,40
1010,Canadian Equities,10,13,20
1010,Global Equities,10,17,25
1010,Non-Traditional Capital Appreciation,0,10,20
181792001,Portfolio,100,100,100
181792001,Traditional Income,0,0,100
181792001,Money Market and Short Term,0,0,100
181792001,Non-Traditional Income,0,100,100
181792001,Fiera Diversified Lending,0,0,100
181792001,Fiera Infrastructure,0,100,100
20306163,Portfolio,100,100,100
20306163,Traditional Income,100,100,100
20394615,Portfolio,100,100,100
20394615,Traditional Income,20,40,65
20394615,Money Market and Short Term,0,5,15
20394615,Canadian Bonds,20,35,50
20394615,Non-Traditional Income,0,0,25
20394615,Fiera Diversified Lending,0,0,10
20394615,Fiera Multi-Strategy Income,0,0,15
20394615,Fiera Infrastructure,0,0,10
20394615,Traditional Capital Appreciation,35,60,80
20394615,Canadian Equities,25,40,50
20394615,Global Equities,10,20,30
20468351,Portfolio,100,100,100
20468351,Traditional Income,0,0,50
20468351,Money Market and Short Term,0,0,50
20468351,Non-Traditional Income,70,85,90
20468351,Fiera Diversified Lending,70,85,90
20468351,Traditional Capital Appreciation,0,3,9
20468351,Canadian Equities,0,3,9
20468351,Non-Traditional Capital Appreciation,0,12,21
20468351,Fiera Long Short Equity,0,3,5
20468351,Fiera Market Neutral Equity,0,6,10
20468351,Fiera Absolute Bond Yield,0,3,5
20468351,Fiera Global Macro,0,0,1
20514741,Portfolio,100,100,100
20514741,Traditional Income,0,15,35
20514741,Money Market and Short Term,0,0,10
20514741,Canadian Bonds,0,15,25
20514741,Non-Traditional Income,30,45,60
20514741,Fiera Multi-Strategy Income,30,35,45
20514741,Fiera Real Estate,0,10,15
20514741,Traditional Capital Appreciation,25,40,70
20514741,Canadian Equities,15,30,45
20514741,Global Equities,5,10,25
20519930,Portfolio,100,100,100
20519930,Traditional Income,0,0,100
20519930,Money Market and Short Term,0,0,100
20519930,Non-Traditional Income,0,100,100
20519930,Fiera Diversified Lending,0,100,100
20519930,Fiera Multi-Strategy Income,0,0,100
20557542,Portfolio,100,100,100
20557542,Traditional Income,0,0,100
